StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q112_1,Q112_2,Q112_3,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,Q254_1,Q254_2,Q254_3,Q254_4,Q255_First Click,Q255_Last Click,Q255_Page Submit,Q255_Click Count,Q265_1,Q265_2,Q265_3,Q265_4,Q265_5,Q265_6,Q265_7,Q265_8,Q265_9,Q265_10,Q266_First Click,Q266_Last Click,Q266_Page Submit,Q266_Click Count,Q8,Q9,Q10,Q17,Q17_17_TEXT,Q18,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Random ID
2020-09-13 13:28:17,2020-09-13 13:31:47,IP Address,122.174.163.254,100,210,True,2020-09-13 13:31:48,R_9NssIVZqH1n2V2h,,,,,13.087799072265625,80.27850341796875,anonymous,EN,2ZQV7K,,,,,Agree,Stongly Agree,Agree,,,,,Agree,Agree,Stongly Agree,Agree,,,,,Agree,Stongly Agree,Agree,Agree,Agree,Neutral,Agree,Stongly Agree,Neutral,Agree,,,,,Male,32,Bachelor's degree,"Business, management, or financial (e.g., manager, accountant, banker)",,Asia,,,,,49831
2020-09-13 13:29:15,2020-09-13 13:32:37,IP Address,75.87.134.64,100,202,True,2020-09-13 13:32:37,R_1k0NjnBLjN3DLoY,,,,,38.8939056396484375,-94.70670318603515625,anonymous,EN," [.jpeg .jpg .png .gif]",,,,,Agree,Stongly Agree,Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,,,,,Male,32,Graduate degree,"Education (e.g., teacher)",,South America,,,,,58756
2020-09-13 13:19:57,2020-09-13 13:32:57,IP Address,75.75.110.135,100,779,True,2020-09-13 13:32:57,R_WjRo01tkzpjdjQB,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,ZMA3F6,,,,,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Strongly Disagree,Disagree,Disagree,Strongly Disagree,,,,,Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,,,,,Male,67,Bachelor's degree,"Skilled labor (e.g., electrician, plumber, carpenter)",,North America,,,,,27775
2020-09-13 13:32:29,2020-09-13 13:37:58,IP Address,122.174.163.222,100,329,True,2020-09-13 13:37:58,R_TubTwN9t2SNFrwZ,,,,,13.087799072265625,80.27850341796875,anonymous,EN,EQ8Z34,,,,,Agree,Stongly Agree,Agree,,,,,Agree,Agree,Agree,Stongly Agree,,,,,Agree,Agree,Agree,Agree,Stongly Agree,Agree,Agree,Neutral,Agree,Agree,,,,,Male,32,Bachelor's degree,"Administrative support (e.g., secretary, assistant)",,Asia,,,,,77649
2020-09-13 13:27:57,2020-09-13 13:39:20,IP Address,69.181.57.161,100,682,True,2020-09-13 13:39:20,R_1I9FOHEBTJS9Uyl,,,,,37.7200927734375,-122.44139862060546875,anonymous,EN,4U0PYQ,,,,,Agree,Stongly Agree,Neutral,,,,,Agree,Stongly Agree,Neutral,Agree,,,,,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,,,,,Female,36,Bachelor's degree,"Business, management, or financial (e.g., manager, accountant, banker)",,South America,,,,,98808
2020-09-13 13:32:33,2020-09-13 13:52:11,IP Address,47.28.89.42,100,1177,True,2020-09-13 13:52:11,R_3sobny4vzakmHdI,,,,,34.139404296875,-118.26599884033203125,anonymous,EN,SUHIQ4,,,,,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,,,,,Stongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,,,,,Male,49,Bachelor's degree,"Business, management, or financial (e.g., manager, accountant, banker)",,North America,,,,,23627
2020-09-13 13:35:44,2020-09-13 13:55:16,IP Address,196.17.64.12,100,1171,True,2020-09-13 13:55:17,R_1F2QWaqJSH9AoZd,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,F8KINZ,,,,,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Male,58,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,North America,,,,,39141
2020-09-13 13:29:26,2020-09-13 13:58:06,IP Address,103.151.118.229,100,1719,True,2020-09-13 13:58:06,R_3dW9KNAtOc1OQ28,,,,,22.8173980712890625,89.564788818359375,anonymous,EN,UK9J2X,,,,,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Agree,Agree,Stongly Agree,Neutral,,,,,Stongly Agree,Disagree,Stongly Agree,Stongly Agree,Agree,Disagree,Stongly Agree,Agree,Stongly Agree,Disagree,,,,,Male,30,Bachelor's degree,"Business, management, or financial (e.g., manager, accountant, banker)",,North America,,,,,35689
2020-09-13 14:06:00,2020-09-13 14:08:29,IP Address,100.34.223.198,100,148,True,2020-09-13 14:08:29,R_3imczj3CucXvqx4,,,,,40.0442962646484375,-75.6472015380859375,anonymous,EN,6K0JGB,,,,,Stongly Agree,Agree,Stongly Agree,,,,,Disagree,Strongly Disagree,Disagree,Disagree,,,,,Agree,Strongly Disagree,Stongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Stongly Agree,Disagree,,,,,Male,25,Bachelor's degree,Other,athlete,North America,,,,,60097
2020-09-13 14:10:26,2020-09-13 14:17:27,IP Address,172.11.220.144,100,420,True,2020-09-13 14:17:27,R_b91Ou1vZY2yMq0F,,,,,39.643798828125,-84.1743011474609375,anonymous,EN,CIDGP5,,,,,Stongly Agree,Neutral,Neutral,,,,,Agree,Stongly Agree,Agree,Agree,,,,,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,,,,,Male,38,Bachelor's degree,"Skilled labor (e.g., electrician, plumber, carpenter)",,North America,,,,,86823
2020-09-13 14:15:33,2020-09-13 14:19:54,IP Address,76.84.49.131,100,260,True,2020-09-13 14:19:54,R_ypB9eYppGNUgghP,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,LUMU1C,,,,,Neutral,Neutral,Neutral,,,,,Agree,Agree,Agree,Agree,,,,,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,,,,,Prefer not to disclose,23,Bachelor's degree,"Scientist (e.g., researcher, professor)",,North America,,,,,98534
2020-09-13 14:10:36,2020-09-13 14:20:22,IP Address,177.75.165.159,100,586,True,2020-09-13 14:20:22,R_1qVuZL3Tg6F9hfI,,,,,-27.034393310546875,-51.101593017578125,anonymous,EN,RT8J1J,,,,,Agree,Agree,Neutral,,,,,Neutral,Agree,Neutral,Agree,,,,,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,,,,,Male,23,Some College,"Service (e.g., retail clerks, server)",,South America,,,,,51021
2020-09-13 14:27:52,2020-09-13 14:29:02,IP Address,171.49.170.231,100,70,True,2020-09-13 14:29:02,R_e5MFHyo3LAAVobL,,,,,13.087799072265625,80.27850341796875,anonymous,EN,2,,,,,Disagree,Neutral,Agree,,,,,Disagree,Neutral,Neutral,Neutral,,,,,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,,,,,Male,27,Bachelor's degree,"Business, management, or financial (e.g., manager, accountant, banker)",,South America,,,,,10884
2020-09-13 14:24:09,2020-09-13 14:32:41,IP Address,196.17.64.235,100,512,True,2020-09-13 14:32:41,R_2e9XSlGLgkjoceu,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,4FZ110,,,,,Neutral,Agree,Agree,,,,,Neutral,Agree,Neutral,Agree,,,,,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Male,47,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,North America,,,,,87017
2020-09-13 14:30:05,2020-09-13 14:36:49,IP Address,179.219.182.184,100,404,True,2020-09-13 14:36:50,R_vwXkulCquvrx3l7,,,,,-30.114593505859375,-51.1638946533203125,anonymous,EN,6DEZHB,,,,,Agree,Stongly Agree,Agree,,,,,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,,,,,Male,32,Some College,"Art, writing, or journalism (e.g., author, reporter, sculptor)",,North America,,,,,92208
2020-09-13 14:26:21,2020-09-13 14:38:55,IP Address,106.197.39.243,100,754,True,2020-09-13 14:38:56,R_30iAYdUlZXo5rQA,,,,,11.6537933349609375,78.1553955078125,anonymous,EN,O2GFFM,,,,,Agree,Agree,Stongly Agree,,,,,Agree,Stongly Agree,Stongly Agree,Agree,,,,,Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Agree,Disagree,,,,,Male,35,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,Asia,,,,,16568
2020-09-13 14:37:52,2020-09-13 14:48:33,IP Address,74.65.215.100,100,640,True,2020-09-13 14:48:33,R_wYklq4otSGAzxBf,,,,,40.71490478515625,-73.9893035888671875,anonymous,EN,9OIGPK,,,,,Agree,Agree,Agree,,,,,Neutral,Agree,Agree,Agree,,,,,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Stongly Agree,Disagree,Agree,Strongly Disagree,,,,,Male,24,Bachelor's degree,"Service (e.g., retail clerks, server)",,North America,,,,,66810
2020-09-13 15:10:19,2020-09-13 15:24:12,IP Address,172.245.110.126,100,832,True,2020-09-13 15:24:12,R_2uvKLPhRS8SOhvW,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,G29OL6,,,,,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Female,30,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,Central America,,,,,95729
2020-09-13 15:23:58,2020-09-13 15:32:02,IP Address,196.17.66.100,100,483,True,2020-09-13 15:32:02,R_bPJK8pIchWpG6JP,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,W2Q4W6,,,,,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,Male,56,Bachelor's degree,"Engineer in other fields (e.g., civil engineer, bio-engineer)",,North America,,,,,50779
2020-09-13 15:27:01,2020-09-13 15:37:21,IP Address,196.17.66.236,100,620,True,2020-09-13 15:37:22,R_QiYBnvvqWHLJs9H,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,9TU1QV,,,,,Agree,Agree,Stongly Agree,,,,,Agree,Agree,Agree,Stongly Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,,,,,Male,63,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,North America,,,,,97632
2020-09-13 16:02:43,2020-09-13 16:08:10,IP Address,45.3.166.139,100,326,True,2020-09-13 16:08:10,R_3iQr6EMqVd3MQNJ,,,,,28.2693939208984375,-81.4741973876953125,anonymous,EN,E09702,,,,,Agree,Neutral,Agree,,,,,Neutral,Agree,Neutral,Agree,,,,,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,,,,,Female,29,Bachelor's degree,"Administrative support (e.g., secretary, assistant)",,South America,,,,,18011
2020-09-13 16:02:04,2020-09-13 16:11:05,IP Address,47.30.138.163,100,541,True,2020-09-13 16:11:05,R_3EE9XWv1lYh40cr,,,,,28.6519012451171875,77.23150634765625,anonymous,EN,PEUY93,,,,,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Agree,Agree,Agree,Agree,,,,,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,,,,,Male,27,Bachelor's degree,"Service (e.g., retail clerks, server)",,Asia,,,,,45127
2020-09-13 16:12:24,2020-09-13 16:18:59,IP Address,212.201.79.107,100,394,True,2020-09-13 16:18:59,R_r39FBt5iVkfnuJr,,,,,50.727203369140625,7.0850982666015625,anonymous,EN,YL96EZ,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,Agree,Agree,Agree,Agree,,,,,Disagree,Disagree,Stongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,,,,,Male,33,Graduate degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,Europe,,,,,47573
2020-09-13 16:03:26,2020-09-13 16:21:08,IP Address,196.17.66.14,100,1061,True,2020-09-13 16:21:08,R_AAlPbC2pjk1nNzr,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,GEBYTO,,,,,Agree,Agree,Stongly Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Agree,Agree,Agree,Agree,Stongly Agree,,,,,Male,52,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,North America,,,,,65171
2020-09-13 16:11:08,2020-09-13 16:21:37,IP Address,69.142.223.71,100,629,True,2020-09-13 16:21:37,R_NUA9RysbJErIOiZ,,,,,40.31719970703125,-74.43039703369140625,anonymous,EN,AV64LJ,,,,,Neutral,Agree,Agree,,,,,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Stongly Agree,Neutral,,,,,Male,36,Graduate degree,"Scientist (e.g., researcher, professor)",,North America,,,,,27433
2020-09-13 16:19:37,2020-09-13 16:23:54,IP Address,96.230.47.145,100,256,True,2020-09-13 16:23:54,R_SZP3HzN0CDD4opj,,,,,42.5574951171875,-71.1735992431640625,anonymous,EN,XHL1GB,,,,,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,,,,,Male,35,Graduate degree,"Legal (e.g., lawyer, law clerk)",,North America,,,,,43839
2020-09-13 16:23:33,2020-09-13 16:29:18,IP Address,196.17.67.15,100,344,True,2020-09-13 16:29:18,R_3oYoLIBtSqYR2CD,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,P64AD4,,,,,Agree,Agree,Stongly Agree,,,,,Agree,Neutral,Agree,Stongly Agree,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Stongly Agree,Agree,Agree,Stongly Agree,,,,,Male,56,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,North America,,,,,64597
2020-09-13 16:21:45,2020-09-13 16:30:45,IP Address,196.17.65.223,100,539,True,2020-09-13 16:30:45,R_1lnlodY54hKghvF,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,IK0HE5,,,,,Agree,Disagree,Agree,,,,,Agree,Disagree,Agree,Disagree,,,,,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,,,,,Male,60,Bachelor's degree,"Engineer in other fields (e.g., civil engineer, bio-engineer)",,North America,,,,,16424
2020-09-13 16:16:56,2020-09-13 16:41:07,IP Address,172.58.107.180,100,1450,True,2020-09-13 16:41:07,R_1DTKfwSTklfOP1a,,,,,32.72259521484375,-97.07849884033203125,anonymous,EN,OU22E3,,,,,Agree,Agree,Stongly Agree,,,,,Agree,Neutral,Agree,Neutral,,,,,Agree,Disagree,Agree,Stongly Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,,,,,Male,21,Associate's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,North America,,,,,40096
